,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
2001,亭,,6.0,2002,tíng,,pavilion; erect,亭," [tíng] (=亭子 tíngzi) pavilion, kios<BR><BR>rank = 1607
",亭子,<span class=examplehanzi>亭</span>子
2002,夕,,5.0,2003,xī, xì,"evening, night, dusk; slanted",夕," [xī] evening, sunset; 夕阳 xīyáng the setting su<BR><BR>rank = 1993
",夕阳,<span class=examplehanzi>夕</span>阳
2003,爹,,,2004,diē,,"father, daddy",爹," [diē] dad; 爹爹 diēdie daddy; 爹地 diēdì dadd<BR><BR>rank = 965
",爹爹; 爹地,<span class=examplehanzi>爹</span><span class=examplehanzi>爹</span>; <span class=examplehanzi>爹</span>地
2004,酬,,6.0,2005,chóu,,"toast; reward, recompense",酬," [chóu] reward, payment; 酬谢 chóuxiè thank with a gift; 报酬 bàochou rewar<BR><BR>rank = 2415
",酬谢; 报酬,<span class=examplehanzi>酬</span>谢; 报<span class=examplehanzi>酬</span>
2005,儒,,,2006,rú,,Confucian scholar,儒," [rú] Confucianism, scholar; 儒家 Rújiā Confucianists; 儒林 Rúlín (Confucian) scholar<BR><BR>rank = 1930
",儒家; 儒林,<span class=examplehanzi>儒</span>家; <span class=examplehanzi>儒</span>林
2006,姻,,5.0,2007,yīn,,relatives by marriage,姻," [yīn] marriage; 婚姻 hūnyīn marriage, realated by marriag<BR><BR>rank = 1909
",婚姻,婚<span class=examplehanzi>姻</span>
2007,卵,,,2008,luǎn,,egg; ovum; roe; spawn,卵," [luǎn] (卵子) egg, ovum; 卵巢 luǎncháo ovar<BR><BR>rank = 2888
",卵子; 卵巢,<span class=examplehanzi>卵</span>子; <span class=examplehanzi>卵</span>巢
2008,氛,,5.0,2009,fēn,,"gas, vapor, air",氛," [fēn] 气氛 qìfēn atmospher<BR><BR>rank = 1975
",气氛,气<span class=examplehanzi>氛</span>
2009,泄,泄 洩  ,6.0,2010,xiè, yì,leak; vent; flow; reveal,泄," [xiè] leak, drain, divulge, release<BR>[yì] 泄沓 yìtà garrulous and disorderly, easygoin<BR><BR>rank = 1964
",泄沓,<span class=examplehanzi>泄</span>沓
2010,杆,桿 杆  ,6.0,2011,gān, gǎn,pole; shaft of spear,杆," [gān] pole<BR>[gǎn] (F�U) shaf<BR><BR>rank = 1889
",,
2011,挨,挨 捱  ,6.0,2012,āi, ái,"near, close by, next to, towards, against; to wait; to lean on",挨," [āi] get close to, be next to, in sequence<BR>[ái] suffe<BR><BR>rank = 1694
",,
2012,僧,,,2013,sēng,,"Buddhist priest, monk; san of Sanskrit sangha",僧," [sēng] mon<BR><BR>rank = 1282
",,
2013,蜜,,5.0,2014,mì,,honey; sweet; nectar,蜜," [mì] (=蜂蜜 fēngmì) honey; 蜜蜂 mìfēng honeybe<BR><BR>rank = 2228
",蜂蜜; 蜜蜂,蜂<span class=examplehanzi>蜜</span>; <span class=examplehanzi>蜜</span>蜂
2014,吟,,6.0,2015,yín,,"sing, hum; recite; type of poetry",吟," [yín] chant, recite<BR>[yīn] 笑吟吟 xiàoyīnyīn smilingl<BR><BR>rank = 1645
",笑吟吟,笑<span class=examplehanzi>吟</span><span class=examplehanzi>吟</span>
2015,猩,,,2016,xīng,,species of orangutan,,,,
2016,遂,,,2017,suì, suí,"comply with, follow along; thereupon",遂," [suì] satisy, fulfil, succeed; 遂心 suìxīn fulfill one's desire<BR>[suí] 半身不遂 bànshēnbùsuí parlysis in half the bod<BR><BR>rank = 2425
",遂心; 半身不遂,<span class=examplehanzi>遂</span>心; 半身不<span class=examplehanzi>遂</span>
2017,狭,狹   ,6.0,2018,xiá,,"narrow, limited; narrow-minded",狭," [xiá] (=狭窄 xiázhǎi, =狭隘 xiá'ài) narro<BR><BR>rank = 2381
",狭窄狭隘,<span class=examplehanzi>狭</span>窄<span class=examplehanzi>狭</span>隘
2018,肖,,6.0,2019,xiào, xiāo,"look like, resemble, be like",肖," [xiào] 肖像 xiàoxiàng portrait<BR>[Xiāo] &LT;family name&GT<BR><BR>rank = 1837
",肖像,<span class=examplehanzi>肖</span>像
