,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
407,需,,3.0,408,xū," nuò, ruǎn, rú","need, require, must",需," [xū] (=需要 xūyào) need; 必需 bìxū essentia<BR><BR>rank = 595
",需要; 必需,<span class=examplehanzi>需</span>要; 必<span class=examplehanzi>需</span>
408,价,價   ,4.0,409,jià," jiè, jie","price, value",价," [jià] (F�r) (=价值 jiàzhí) value, (=价钱 jiàqian) price<BR>[jie] (F�r)<BR>[jiè] servan<BR><BR>rank = 554
",价值价钱,<span class=examplehanzi>价</span>值<span class=examplehanzi>价</span>钱
409,花,,3.0,410,huā,,flower; blossoms,花," [huā] flower, spend; 花生 huāshēng peanu<BR><BR>rank = 329
",花生,<span class=examplehanzi>花</span>生
410,党,黨   ,6.0,411,dǎng,,"political party, gang, faction",党," [dǎng] (political) party, clique; 共产党 Gòngchǎndǎng Communist Party; 国民党 Guómíndǎng Nationalist Part<BR><BR>rank = 397
",共产党; 国民党,共产<span class=examplehanzi>党</span>; 国民<span class=examplehanzi>党</span>
411,华,華   ,5.0,412,huá," huà, huā",flowery; illustrious; Chinese,华," [huá] glory, splendor, magnificent, (=中华 Zhōnghuá) China<BR>[Huà] &LT;family name&GT;; 华山 Huà Shān (mountain in Shaanxi<BR><BR>rank = 218
","中华, 华山","中<span class=examplehanzi>华</span>, <span class=examplehanzi>华</span>山"
412,城,,3.0,413,chéng,,"castle; city, town; municipality",城," [chéng] (=城市 chéngshì) city, wall; 长城 chángchéng Great Wal<BR><BR>rank = 357
",城市; 长城,<span class=examplehanzi>城</span>市; 长<span class=examplehanzi>城</span>
413,石,,5.0,414,shí, dàn,"stone, rock, mineral; rad. 112",石," [shí] (=石头 shítou) stone, rock<BR>[dàn] unit of grain<BR>{Compare with 右 yòu right<BR><BR>rank = 442
",石头,<span class=examplehanzi>石</span>头
414,级,級   ,3.0,415,jí,,"level, rank, class; grade",级," [jí] grade, level; 阶级 jiējí (social) class, steps, stairs, ran<BR><BR>rank = 492
",阶级,阶<span class=examplehanzi>级</span>
415,整,,4.0,416,zhěng,,"orderly, neat, tidy; whole",整," [zhěng] (=整个 zhěnggè) whole; 调整 tiáozhěng adjust; 整齐 zhěngqí nea<BR><BR>rank = 525
",整个; 调整; 整齐,<span class=examplehanzi>整</span>个; 调<span class=examplehanzi>整</span>; <span class=examplehanzi>整</span>齐
416,府,,5.0,417,fǔ,,prefecture; prefect; government,府," [fǔ] 政府 zhèngfǔ governmen<BR><BR>rank = 468
",政府,政<span class=examplehanzi>府</span>
417,离,離   ,2.0,418,lí," chī, lì",rare beast; strange; elegant,离," [lí] (=离开 líkāi) leave, fro<BR><BR>rank = 461
",离开,<span class=examplehanzi>离</span>开
418,况,況   ,4.0,419,kuàng,,"condition, situation; furthermore",况," [kuàng] 情况 qíngkuàng circumstances; 况且 kuàngqiě moreove<BR><BR>rank = 625
",情况; 况且,情<span class=examplehanzi>况</span>; <span class=examplehanzi>况</span>且
419,亚,亞   ,4.0,420,yà, yā,Asia; second,亚," [yà] inferior, second; 亚洲 Yàzhōu Asi<BR><BR>rank = 536
",亚洲,<span class=examplehanzi>亚</span>洲
420,请,請   ,1.0,421,qǐng," qìng, qīng, qíng","ask, request; invite; please",请," [qǐng] please, request, invite; 请求 qǐngqiú ask, reques<BR><BR>rank = 297
",请求,<span class=examplehanzi>请</span>求
421,技,,4.0,422,jì,,"skill, ability, talent, ingenuity",技," [jì] 技术 jìshù technology, technique; 科技 kējì science and technolog<BR><BR>rank = 374
",技术; 科技,<span class=examplehanzi>技</span>术; 科<span class=examplehanzi>技</span>
422,际,際   ,4.0,423,jì,,"border, boundary, juncture",际," [jì] (=边际 biānjì) boundary; 实际 shíjì reality; 国际 guójì internationa<BR><BR>rank = 428
",边际; 实际; 国际,边<span class=examplehanzi>际</span>; 实<span class=examplehanzi>际</span>; 国<span class=examplehanzi>际</span>
423,约,約   ,4.0,424,yuē,,"treaty, agreement, covenant",约," [yuē] approximately, arrange, appointment<BR>[yāo] weig<BR><BR>rank = 520
",,
424,示,,3.0,425,shì," qī, zhì, shí","show, manifest; demonstrate",示," [shì] (=表示 biǎoshì) show, indicate; 指示 zhǐshì point ou<BR><BR>rank = 497
",表示; 指示,表<span class=examplehanzi>示</span>; 指<span class=examplehanzi>示</span>
425,复,複 復  ,3.0,426,fù,,return; repeat; repeatedly,复," [fù] (F��) 恢复 huīfù recover, (F�}) 复杂 fùzá complicated, complex, (F覆) cove<BR><BR>rank = 537
",恢复复杂覆,恢<span class=examplehanzi>复</span><span class=examplehanzi>复</span>杂覆
426,病,,2.0,427,bìng,,"illness, sickness, disease",病," [bìng] sick; 毛病 máobing malfunctio<BR><BR>rank = 620
",毛病,毛<span class=examplehanzi>病</span>
427,息,,2.0,428,xī,,"rest, put stop to, end, cease",息," [xī] breath, stop<BR>[xi] 消息 xiāoxi news; 休息 xiūxi res<BR><BR>rank = 386
",消息; 休息,消<span class=examplehanzi>息</span>; 休<span class=examplehanzi>息</span>
428,究,,4.0,429,jiū, jiù,"examine, investigate",究," [jiū] 研究 yánjiū study, research; 究竟 jiūjìng after al<BR><BR>rank = 453
",研究; 究竟,研<span class=examplehanzi>究</span>; <span class=examplehanzi>究</span>竟
429,线,線   ,5.0,430,xiàn,,"line, thread, wire; clue",线," [xiàn] line, thread; 光线 guāngxiàn light ray; 电线 diànxiàn (electric) wir<BR><BR>rank = 577
",光线; 电线,光<span class=examplehanzi>线</span>; 电<span class=examplehanzi>线</span>
430,似,,5.0,431,sì, shì,"resemble, similar to; as if, seem",似," [sì] similar; 似乎 sìhu it seems<BR>[shì] 似的 shìde alik<BR><BR>rank = 439
",似乎; 似的,<span class=examplehanzi>似</span>乎; <span class=examplehanzi>似</span>的
431,官,,5.0,432,guān,,"official, public servant",官," [guān] official; 官僚 guānliáo bureaucra<BR><BR>rank = 496
",官僚,<span class=examplehanzi>官</span>僚
432,火,,1.0,433,huǒ, huō,"fire, flame; burn; anger, rage",火," [huǒ] fire; 火车 huǒchē train; 火柴 huǒchái match; 火焰 huǒyàn flam<BR><BR>rank = 427
",火车; 火柴; 火焰,<span class=examplehanzi>火</span>车; <span class=examplehanzi>火</span>柴; <span class=examplehanzi>火</span>焰
433,断,斷   ,4.0,434,duàn,,"sever, cut off; interrupt",断," [duàn] cut off; 不断 búduàn unceasing; 判断 pànduàn judg<BR><BR>rank = 547
",不断; 判断,不<span class=examplehanzi>断</span>; 判<span class=examplehanzi>断</span>
434,精,,4.0,435,jīng," qíng, jìng",essence; semen; spirit,精," [jīng] perfect; 精神 jīngshén spirit, essence; 酒精 jiǔjīng alcoho<BR><BR>rank = 494
",精神; 酒精,<span class=examplehanzi>精</span>神; 酒<span class=examplehanzi>精</span>
435,满,滿   ,3.0,436,mǎn, mèn,"fill; full, satisfied",满," [mǎn] full; 满足 mǎnzú satisfied, contente<BR><BR>rank = 383
",满足,<span class=examplehanzi>满</span>足
436,支,,4.0,437,zhī,,"disperse, pay; support; branch",支," [zhī] branch, support; 支持 zhīchí sustain; 地支 dìzhī the Twelve Terrestrial Branche<BR><BR>rank = 526
",支持; 地支,<span class=examplehanzi>支</span>持; 地<span class=examplehanzi>支</span>
437,视,視   ,1.0,438,shì,,"look at, inspect, observe, see",视," [shì] look; 电视 diànshì televisio<BR><BR>rank = 458
",电视,电<span class=examplehanzi>视</span>
438,消,,4.0,439,xiāo,,"vanish, die out; melt away",消," [xiāo] disappear; 消息 xiāoxi news; 消灭 xiāomiè peris<BR><BR>rank = 564
",消息; 消灭,<span class=examplehanzi>消</span>息; <span class=examplehanzi>消</span>灭
439,越,,3.0,440,yuè, huó,"exceed, go beyond; the more ...",越," [yuè] 越…越… the more... the more..<BR><BR>rank = 407
",越…越……,<span class=examplehanzi>越</span>…<span class=examplehanzi>越</span>……
440,器,,5.0,441,qì,,"receptacle, vessel; instrument",器," [qì] utensil, (=机器 jīqi) machine; 武器 wǔqì weapo<BR><BR>rank = 567
",机器; 武器,机<span class=examplehanzi>器</span>; 武<span class=examplehanzi>器</span>
441,容,,3.0,442,róng,,"looks, appearance; figure, form",容," [róng] contain; 容易 róngyì easy; 内容 nèiróng conten<BR><BR>rank = 412
",容易; 内容,<span class=examplehanzi>容</span>易; 内<span class=examplehanzi>容</span>
442,照,,3.0,443,zhào,,"shine, illumine, reflect",照," [zhào] shine; 照相 zhàoxiàng phot<BR><BR>rank = 506
",照相,<span class=examplehanzi>照</span>相
443,须,鬚 須  ,3.0,444,xū,,"must, have to, necessary",须," [xū] (F��) (=必须 bìxū) must, (F�P) (=胡须 húxū) bear<BR><BR>rank = 669
",必须胡须,必<span class=examplehanzi>须</span>胡<span class=examplehanzi>须</span>
444,九,,1.0,445,jiǔ,,nine,九," [jiǔ] nine; 九月 jiǔyuè Septembe<BR><BR>rank = 213
",九月,<span class=examplehanzi>九</span>月
445,增,,4.0,446,zēng,,"increase, add to, augment",增," [zēng] (=增加 zēngjiā, =增长 zēngzhǎng) increas<BR><BR>rank = 582
",增加增长,<span class=examplehanzi>增</span>加<span class=examplehanzi>增</span>长
446,研,,4.0,447,yán," yàn, xíng","grind, rub; study, research",研," [yán] grind, (=研究 yánjiū) study, researc<BR><BR>rank = 413
",研究,<span class=examplehanzi>研</span>究
447,写,寫   ,1.0,448,xiě,,"write; draw, sketch; compose",写," [xiě] write; 描写 miáoxiě describe, depict<BR>[xiè] 写意 xiěyǐ freehand brushwork, sketch<BR>{Compare with 与 yǔ and<BR><BR>rank = 387
",描写; 写意,描<span class=examplehanzi>写</span>; <span class=examplehanzi>写</span>意
448,称,稱   ,5.0,449,chēng," chèn, chèng","call; name, brand; address; say",称," [chēng] weigh, name<BR>[chèn] 对称 duìchèn symmetri<BR><BR>rank = 517
",对称,对<span class=examplehanzi>称</span>
449,企,,5.0,450,qǐ,,plan a project; stand on tiptoe,企," [qǐ] stand on tiptoe, hope for, look forward to; 企业 qǐyè enterprise; 企图 qǐtú attempt; 企鹅 pengui<BR><BR>rank = 608
",企业; 企图; 企鹅,<span class=examplehanzi>企</span>业; <span class=examplehanzi>企</span>图; <span class=examplehanzi>企</span>鹅
450,八,,1.0,451,bā,,"eight; all around, all sides",八," [bā] eight; 八月 Bāyuè Augus<BR><BR>rank = 282
",八月,<span class=examplehanzi>八</span>月
451,功,,4.0,452,gōng,,"achievement, merit, good result",功," [gōng] achievement; 成功 chénggōng succeed; 功夫 gōngfu time (duration), time (when), skill, art, wor<BR><BR>rank = 314
",成功; 功夫,成<span class=examplehanzi>功</span>; <span class=examplehanzi>功</span>夫
452,吗,嗎   ,1.0,453,ma," má, mǎ",final interrogative particle,吗," [ma] &LT;interrogative particle&GT;<BR>[má] what; 干吗? gàn má? What's up?<BR>[mǎ] 吗啡 mǎfēi morphin<BR><BR>rank = 524
",干吗; 吗啡,干<span class=examplehanzi>吗</span>; <span class=examplehanzi>吗</span>啡
453,包,,3.0,454,bāo,,"wrap, pack, bundle; package",包," [bāo] bag, wra<BR><BR>rank = 454
",,
454,片,,3.0,455,piàn," piān, pàn","slice, splinter, strip; rad. 91",片," [piàn] slice; 照片 zhàopiàn photo; 片刻 piànkè moment; 卡片 kǎpiàn card<BR>[piān] fil<BR><BR>rank = 411
",照片; 片刻; 卡片,照<span class=examplehanzi>片</span>; <span class=examplehanzi>片</span>刻; 卡<span class=examplehanzi>片</span>
455,史,,3.0,456,shǐ,,"history, chronicle, annals",史," [shǐ] (=历史 lìshǐ) history, &LT;family name&GT;; 外史 wàishǐ unofficial history<BR>{Compare with 吏 lì official and 更 gèng more<BR><BR>rank = 408
","历史, 外史","历<span class=examplehanzi>史</span>, 外<span class=examplehanzi>史</span>"
456,委,,5.0,457,wěi, wēi,"appoint, send, commission",委," [wěi] 委员会 wěiyuánhuì committee; 委托 wěituō entrust<BR>[wēi] 虚与委蛇 xūyǔwēiyí to pretend interest and sympath<BR><BR>rank = 423
",委员会; 委托; 虚与委蛇,<span class=examplehanzi>委</span>员会; <span class=examplehanzi>委</span>托; 虚与<span class=examplehanzi>委</span>蛇
457,乎,,3.0,458,hū, hú,interrogative or exclamatory final particle,乎," [hū] 似乎 sìhu it seems; 几乎 jīhū almos<BR><BR>rank = 500
",似乎; 几乎,似<span class=examplehanzi>乎</span>; 几<span class=examplehanzi>乎</span>
458,查,,3.0,459,chá, zhā,"investigate, examine, seek into",查," [chá] examine, investigate; 检查 jiǎnchá inspect<BR>[Zhā] &LT;family name&GT<BR><BR>rank = 634
",检查,检<span class=examplehanzi>查</span>
459,轻,輕   ,3.0,460,qīng,,"light; easy, simple; gentle",轻," [qīng] light (compare with 重 zhòng heavy<BR><BR>rank = 375
",重,重
460,易,,3.0,461,yì,,change; easy,易," [yì] (=容易 róngyì) easy, change; 易经 Yìjīng Book of Change<BR><BR>rank = 589
",容易; 易经,容<span class=examplehanzi>易</span>; <span class=examplehanzi>易</span>经
461,早,,2.0,462,zǎo,,early; soon; morning,早," [zǎo] early; 早饭 zǎofàn breakfast; 早晨 zǎochen mornin<BR><BR>rank = 424
",早饭; 早晨,<span class=examplehanzi>早</span>饭; <span class=examplehanzi>早</span>晨
462,曾,,5.0,463,céng, zēng,already; sign of past,曾," [céng] (=曾经 céngjīng) in the past<BR>[zēng] great- (grandmother)<BR>[cēng] 挨曾儿 āicēngr 〈colloquial〉 to get a scoldin<BR><BR>rank = 485
","曾经, 挨曾儿","<span class=examplehanzi>曾</span>经, 挨<span class=examplehanzi>曾</span>儿"
463,除,,3.0,464,chú," zhù, shū","eliminate, remove, except",除," [chú] get rid of, divide, (=除了 chúle) excep<BR><BR>rank = 603
",除了,<span class=examplehanzi>除</span>了
464,农,農   ,4.0,465,nóng,,"agriculture, farming; farmer",农," [nóng] (=农民 nóngmín) farmer, peasant; 农业 nóngyè agricultur<BR><BR>rank = 550
",农民; 农业,<span class=examplehanzi>农</span>民; <span class=examplehanzi>农</span>业
465,找,,2.0,466,zhǎo,,"search, seek, look for; find",找," [zhǎo] look for, seek<BR>{Compare with 我 wǒ me<BR><BR>rank = 415
",,
466,装,裝   ,5.0,467,zhuāng,,"dress, clothes, attire; fill",装," [zhuāng] dress up, load, install, (=假装 jiǎzhuāng) preten<BR><BR>rank = 588
",假装,假<span class=examplehanzi>装</span>
467,广,廣   ,4.0,468,yǎn," ān, guǎng","wide, extensive, broad; rad. 53",广," [guǎng] wide, extensive<BR>[yǎn] (when referring to the radical<BR><BR>rank = 419
",,
468,显,顯   ,5.0,469,xiǎn,,"manifest, display; evident, clear",显," [xiǎn] appear; 显然 xiǎnrán obviou<BR><BR>rank = 563
",显然,<span class=examplehanzi>显</span>然
469,吧,,2.0,470,ba, bā,emphatic final particle,吧," [ba] at end of sentence, indicates suggestion<BR>[bā] snap<BR><BR>rank = 533
",,
470,阿,,3.0,471,ā," à, a, ē, ě, ǎ",prefix for people's names; used in transliteration,阿," [ā] 阿拉伯 ālābó Arab<BR>[ē] 阿弥陀佛ēmítuógó Amitabha = Buddha preserve u<BR><BR>rank = 622
",阿拉伯; 阿弥陀佛,<span class=examplehanzi>阿</span>拉伯; <span class=examplehanzi>阿</span>弥陀佛
471,李,,3.0,472,lǐ,,plum; judge; surname,李," [lǐ] (=李子 lǐzi) plum, &LT;family name&GT<BR><BR>rank = 385
",李子,<span class=examplehanzi>李</span>子
472,标,標   ,4.0,473,biāo,,"mark, symbol, label, sign; stand the bole of a tree",标," [biāo] mark; 标准 biāozhǔn standar<BR><BR>rank = 617
",标准,<span class=examplehanzi>标</span>准
473,谈,談   ,4.0,474,tán,,talk; conversation; surname,谈," [tán] tal<BR><BR>rank = 467
",,
474,吃,喫 吃  ,1.0,475,chī, jī,"eat; drink; suffer, endure, bear",吃," [chī] eat<BR>[qī] 吃吃 qīqī &LT;the sound of giggling&GT<BR><BR>rank = 305
",吃吃,<span class=examplehanzi>吃</span><span class=examplehanzi>吃</span>
475,图,圖   ,3.0,476,tú,,"diagram; chart, map, picture",图," [tú] picture; 地图 dìtú map; 图书馆 túshūguǎn librar<BR><BR>rank = 654
",地图; 图书馆,地<span class=examplehanzi>图</span>; <span class=examplehanzi>图</span>书馆
476,念,念 唸  ,5.0,477,niàn,,"think of, recall, study",念," [niàn] miss, read aloud; 观念 guānniàn concept; 念书 niànshū stud<BR><BR>rank = 553
",观念; 念书,观<span class=examplehanzi>念</span>; <span class=examplehanzi>念</span>书
477,六,,1.0,478,liù, lù,number six,六," [liù] six; 六月 liùyuè June<BR>{Compare with 兴 xìng prosper<BR><BR>rank = 313
",六月,<span class=examplehanzi>六</span>月
478,引,,4.0,479,yǐn,,"to pull, draw out, attract; to stretch",引," [yǐn] draw, stretch, (=引起 yǐnqǐ) cause, (=吸引 xīyǐn) attrac<BR><BR>rank = 635
",引起吸引,<span class=examplehanzi>引</span>起吸<span class=examplehanzi>引</span>
479,历,曆 歷  ,3.0,480,lì,,history; calendar,历," [lì] (F�v) 历史 lìshǐ history; 经历 jīnglì experience, (F��) 日历 rìlì calendar<BR>{Compare with 厉 lì severe<BR><BR>rank = 406
",历史; 经历日历,<span class=examplehanzi>历</span>史; 经<span class=examplehanzi>历</span>日<span class=examplehanzi>历</span>
480,首,,4.0,481,shǒu,,"head; first; leader, chief; a poem",首," [shǒu] head; 首先 shǒuxiān first of all; 首都 shǒudū capital (of a country<BR><BR>rank = 430
",首先; 首都,<span class=examplehanzi>首</span>先; <span class=examplehanzi>首</span>都
481,医,醫   ,1.0,482,yì, yī,"cure, heal; doctor, medical",医," [yī] (=医学 yīxué) medical science; 医生 yīshēng doctor; 医院 yīyuàn hospita<BR><BR>rank = 621
",医学; 医生; 医院,<span class=examplehanzi>医</span>学; <span class=examplehanzi>医</span>生; <span class=examplehanzi>医</span>院
482,局,侷 跼 局 ,5.0,483,jú,,"bureau, office; circumstance",局," [jú] department, situation; 邮局 yóujú post offic<BR><BR>rank = 483
",邮局,邮<span class=examplehanzi>局</span>
483,突,,3.0,484,tū, tú,"suddenly, abruptly, unexpectedly",突," [tū] charge forward, stick out; 突然 tūrán suddenl<BR><BR>rank = 529
",突然,<span class=examplehanzi>突</span>然
484,专,專   ,4.0,485,zhuān,,"monopolize, take sole possession",专," [zhuān] (=专门 zhuānmén) special, (=专家 zhuānjiā) expert; 专政 zhuānzhèng dictatorshi<BR><BR>rank = 441
",专门专家; 专政,<span class=examplehanzi>专</span>门<span class=examplehanzi>专</span>家; <span class=examplehanzi>专</span>政
485,费,費   ,4.0,486,fèi, bì,"expenses, expenditures, fee",费," [fèi] cost; 学费 xuéfèi tuitio<BR><BR>rank = 508
",学费,学<span class=examplehanzi>费</span>
486,号,號   ,2.0,487,hào, háo,"mark, sign; symbol; number",号," [hào] name, number, mark<BR>[háo] yel<BR><BR>rank = 530
",,
487,尽,盡 儘  ,4.0,488,jǐn,,"exhaust, use up; deplete",尽," [jìn] (F�M) use up<BR>[jǐn] (F��) to max extent; 尽管 jǐnguǎn even thoug<BR><BR>rank = 474
",尽管,<span class=examplehanzi>尽</span>管
488,另,,4.0,489,lìng,,"another, separate, other",另," [lìng] other; 另外 lìngwài other, beside<BR><BR>rank = 542
",另外,<span class=examplehanzi>另</span>外
489,周,周 週  ,3.0,490,zhōu,,Zhou dynasty; circumference,周," [zhōu] circuit, circumference, cycle, week; 周围 zhōuwéi vicinity, surroundings, entirely; 周身 zhōushēn whole vod<BR><BR>rank = 347
",周围; 周身,<span class=examplehanzi>周</span>围; <span class=examplehanzi>周</span>身
490,较,較   ,3.0,491,jiào, jué,"compare; comparatively, more",较," [jiào] relatively, quite; 比较 bǐjiào compare, relatively<BR>[jiǎo] (bǐjiǎo = bǐjiào<BR><BR>rank = 718
",比较,比<span class=examplehanzi>较</span>
491,注,註 注  ,3.0,492,zhù, zhòu,"concentrate, focus, direct",注," [zhù] pour, (F�]) notes; 注意 zhùyì pay attention; 注视 zhùshì gaz<BR><BR>rank = 507
",注意; 注视,<span class=examplehanzi>注</span>意; <span class=examplehanzi>注</span>视
492,语,語   ,1.0,493,yǔ, yù,"language, words; saying, expression",语," [yǔ] (=语言 yǔyán) language; 汉语 Hànyǔ Chinese; 语法 yǔfǎ grammar; 成语 chéngyǔ idiom<BR>[yù] tel<BR><BR>rank = 379
",语言; 汉语; 语法; 成语,<span class=examplehanzi>语</span>言; 汉<span class=examplehanzi>语</span>; <span class=examplehanzi>语</span>法; 成<span class=examplehanzi>语</span>
493,仅,僅   ,4.0,494,jǐn, jìn,"only, merely, solely, just",仅," [jǐn] (=仅仅 jǐnjǐn) only, barel<BR><BR>rank = 633
",仅仅,<span class=examplehanzi>仅</span><span class=examplehanzi>仅</span>
494,考,,2.0,495,kǎo,,"examine, test; investigate",考," [kǎo] (=考虑 kǎolǜ) consider, (=考试 kǎoshì) exa<BR><BR>rank = 628
",考虑考试,<span class=examplehanzi>考</span>虑<span class=examplehanzi>考</span>试
495,落,,5.0,496,luò," là, lào, luō","fall, drop; net income, surplus",落," [luò] fall<BR>[là] be missing<BR>[lào] 落色 làoshǎi fade (in colour)<BR>[luō] 空落落 kōngluōluō absolutely nothing left, open/spacious and desolat<BR><BR>rank = 457
",落色; 空落落,<span class=examplehanzi>落</span>色; 空<span class=examplehanzi>落</span><span class=examplehanzi>落</span>
496,青,,5.0,497,qīng, jīng,"blue, green, black; young",青," [qīng] nature's colour blue/green/black...; 青年 qīngnián youth; 青蛙 qīngwā fro<BR><BR>rank = 320
",青年; 青蛙,<span class=examplehanzi>青</span>年; <span class=examplehanzi>青</span>蛙
497,随,隨   ,4.0,498,suí,,"follow, listen to, submit to",随," [suí] follow; 随便 suíbiàn as you lik<BR><BR>rank = 472
",随便,<span class=examplehanzi>随</span>便
498,选,選   ,3.0,499,xuǎn, suàn,"choose, select; elect; election",选," [xuǎn] (=选择 xuǎnzé) choose, select; 选举 xuǎnjǔ electio<BR><BR>rank = 532
",选择; 选举,<span class=examplehanzi>选</span>择; <span class=examplehanzi>选</span>举
499,列,,4.0,500,liè,,"a line; to arrange in order, classify",列," [liè] column, line up; 列车 lièchē train; 排列 páiliè arrang<BR><BR>rank = 653
",列车; 排列,<span class=examplehanzi>列</span>车; 排<span class=examplehanzi>列</span>
500,武,,5.0,501,wǔ,,"military; martial, warlike",武," [wǔ] military; 武器 wǔqì weapon; 武术 wǔshù martial art<BR><BR>rank = 352
",武器; 武术,<span class=examplehanzi>武</span>器; <span class=examplehanzi>武</span>术
501,红,紅   ,2.0,502,hóng," hōng, gōng","red, vermillion; blush, flush",红," [hóng] (=红色 hóngsè) red; 东方红 Dōngfānghóng The East is Red<BR>[gōng] 女红 nǚgōng needlewor<BR><BR>rank = 344
",红色; 东方红; 女红,<span class=examplehanzi>红</span>色; 东方<span class=examplehanzi>红</span>; 女<span class=examplehanzi>红</span>
502,响,響   ,3.0,503,xiǎng,,"make sound, make noise; sound",响," [xiǎng] sound; 影响 yǐngxiǎng influenc<BR><BR>rank = 516
",影响,影<span class=examplehanzi>响</span>
503,虽,雖   ,3.0,504,suī,,"although, even if",虽," [suī] (=虽然 suīrán) althoug<BR><BR>rank = 462
",虽然,<span class=examplehanzi>虽</span>然
504,推,,4.0,505,tuī,,"push, expel; push forward",推," [tuī] pus<BR><BR>rank = 514
",,
505,势,勢   ,5.0,506,shì,,"power, force; tendency",势," [shì] power; 形势 xíngshì circumstances; 姿势 zīshì postur<BR><BR>rank = 544
",形势; 姿势,形<span class=examplehanzi>势</span>; 姿<span class=examplehanzi>势</span>
506,参,參   ,3.0,507,cān," sān, shēn, dēn,cēn, sǎn","take part in, intervene; ginseng",参," [cān] 参加 cānjiā participate<BR>[shēn] 人参 rénshēn ginseng<BR>[cēn] 参差 cēncī uneven, irregula<BR><BR>rank = 534
",参加; 人参; 参差,<span class=examplehanzi>参</span>加; 人<span class=examplehanzi>参</span>; <span class=examplehanzi>参</span>差
507,希,,2.0,508,xī,,"rare; hope, expect, strive for",希," [xī] sparse, scattered, watery, this; 希望 xīwàng hope; 希奇 xīqí rare, strange; 希腊 Xīlà Greec<BR><BR>rank = 651
",希望; 希奇; 希腊,<span class=examplehanzi>希</span>望; <span class=examplehanzi>希</span>奇; <span class=examplehanzi>希</span>腊
508,古,,5.0,509,gǔ,,"old, classic, ancient",古," [gǔ] (=古代 gǔdài) ancient<BR>{Compare with 舌 shé tongue<BR><BR>rank = 527
",古代,<span class=examplehanzi>古</span>代
509,众,眾   ,4.0,510,zhòng,,"multitude, crowd; masses, public",众," [zhòng] crowd, many; 群众 qúnzhòng the masses; 听众 tīngzhòng audienc<BR><BR>rank = 373
",群众; 听众,群<span class=examplehanzi>众</span>; 听<span class=examplehanzi>众</span>
510,构,搆 構  ,5.0,511,gōu, gòu,"frame, building, structure",构," [gòu] 结构 jiégòu structure; 构成 constitute; 构<BR><BR>rank = 868
",结构; 构成; 构,结<span class=examplehanzi>构</span>; <span class=examplehanzi>构</span>成; <span class=examplehanzi>构</span>
511,房,,2.0,512,fáng, páng,"house, building; room",房," [fáng] (=房间 fángjiān) room, (=房子 fángzi) buildin<BR><BR>rank = 425
",房间房子,<span class=examplehanzi>房</span>间<span class=examplehanzi>房</span>子
512,半,,3.0,513,bàn,,half,半," [bàn] half, semi~<BR>{Compare with 平 píng even<BR><BR>rank = 353
",,
513,节,節   ,3.0,514,jié, jiē,"knot, node, joint; section",节," [jié] joint, section, festival, holiday, (=节日 jiérì) holiday<BR>[jiē] knot, link; 节子 jiēzi gnarl, knot (in wood<BR><BR>rank = 586
","节日, 节子","<span class=examplehanzi>节</span>日, <span class=examplehanzi>节</span>子"
514,土,,5.0,515,tǔ,,"soil, earth; items made of earth",土," [tǔ] earth, (=土地 tǔdì) land, (=土壤 tǔrǎng) soil<BR>{Compare with 士 shì scholar<BR><BR>rank = 624
",土地土壤,<span class=examplehanzi>土</span>地<span class=examplehanzi>土</span>壤
515,投,,5.0,516,tóu,,"throw, cast, fling, pitch; jump",投," [tóu] throw; 投票 tóupiào vot<BR><BR>rank = 610
",投票,<span class=examplehanzi>投</span>票
516,某,,5.0,517,mǒu,,certain thing or person,某," [mǒu] certain, some; 某人 mǒurén somebod<BR><BR>rank = 767
",某人,<span class=examplehanzi>某</span>人
517,案,,4.0,518,àn,,"table, bench; legal case",案," [àn] desk, (law) case; 答案 dá'àn answer or solution to a proble<BR><BR>rank = 671
",答案,答<span class=examplehanzi>案</span>
518,黑,,2.0,519,hēi, hè,"black; dark; evil, sinister",黑," [hēi] (=黑色 hēisè) black; 黑暗 hēi'àn dar<BR><BR>rank = 470
",黑色; 黑暗,<span class=examplehanzi>黑</span>色; <span class=examplehanzi>黑</span>暗
519,维,維   ,5.0,520,wéi,,"maintain, preserve, safeguard",维," [wéi] 纤维 xiānwéi fiber; 维护 wéihù safeguard; 思维 síwéi thin<BR><BR>rank = 752
",纤维; 维护; 思维,纤<span class=examplehanzi>维</span>; <span class=examplehanzi>维</span>护; 思<span class=examplehanzi>维</span>
520,革,,5.0,521,gé," jí, jǐ","leather, animal hides; rad. 177",革," [gé] leather; 革命 gémìng revolution; 改革 gǎigé reform<BR>[jí] 病革 bìngjí about to die of illnes<BR><BR>rank = 362
",革命; 改革; 病革,<span class=examplehanzi>革</span>命; 改<span class=examplehanzi>革</span>; 病<span class=examplehanzi>革</span>
521,划,划 劃 畫 ,4.0,522,huá, huà,to row or paddle boat; to scratch,划," [huá] row (a boat) (F��) scratch<BR>[huà] (F��) (=计划 jìhuà) plan (F��<BR><BR>rank = 694
",计划,计<span class=examplehanzi>划</span>
522,敌,敵   ,5.0,523,dí,,"enemy, foe, rival; resist",敌," [dí] (敌人 dírén) enemy; 敌军 enemy troop<BR><BR>rank = 730
",敌人; 敌军,<span class=examplehanzi>敌</span>人; <span class=examplehanzi>敌</span>军
